Rank,Ligand,Vina-Bind_Score,pose_centroid_x,pose_centroid_y,pose_centroid_z,boltz_affinity,boltz_confidence,pocket_alignment_Score,SMILES,MolWt,LogP,TPSA,RotatableBonds,HBD,HBA,AromaticRings,FractionCSP3,QED,HeavyAtomCount,HeteroAtomCount,RingCount,AliphaticRings,MR,SA_Score,FormalCharge,ESOL_LogS,Lipinski_OK,Veber_OK,Egan_OK,BBB_rule,vina_rank,boltz_rank
1,naphthyl2_benzamidine,-7.7,27.93,64.7,67.21,0.9,0.89,0.19,NC(=N)c1ccc2ccccc2c1,170.21,2.12,49.87,1,2,1,2,0.0,0.5,13,2,2,0,54.96,3.79,0,-1.16,True,True,True,True,1.0,68.0
2,naphthyl1_benzamidine,-7.6,33.62,57.26,49.51,0.98,0.94,0.16,NC(=N)c1cccc2ccccc12,170.21,2.12,49.87,1,2,1,2,0.0,0.5,13,2,2,0,54.96,3.79,0,-1.16,True,True,True,True,2.0,1.0
3,naphthyl4_benzamidine,-7.4,22.6,66.69,47.82,0.85,0.81,0.02,NC(=N)c1ccc(c2cccc3ccccc23)cc1,246.31,3.79,49.87,2,2,1,3,0.0,0.52,19,2,3,0,80.4,4.71,0,-1.92,True,True,True,True,3.0,114.0
4,isoquinolinyl_benzamidine,-7.2,22.45,65.51,48.17,0.97,0.92,0.04,NC(=N)c1ccc(-c2cc3ccncc3cc2)cc1,247.3,3.19,62.76,2,2,2,3,0.0,0.54,19,3,3,0,78.2,4.78,0,-1.93,True,True,True,True,4.0,43.0
5,quinolinyl_benzamidine,-7.1,24.43,65.46,48.07,0.98,0.92,0.07,NC(=N)c1ccc(-c2ccc3ncccc3c2)cc1,247.3,3.19,62.76,2,2,2,3,0.0,0.54,19,3,3,0,78.2,4.79,0,-1.93,True,True,True,True,5.0,53.0
6,dinitro_benzamidine,-7.0,28.18,63.83,55.02,0.96,0.93,0.33,NC(=N)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,210.15,0.79,136.15,3,2,5,1,0.0,0.33,15,8,1,0,50.77,4.1,0,-1.56,True,True,False,False,6.0,17.0
7,furyl_benzamidine,-6.9,25.53,65.32,51.03,0.98,0.91,0.16,NC(=N)c1ccc(-c2occc2)cc1,186.21,2.23,63.01,2,2,2,2,0.0,0.56,14,3,2,0,55.16,4.0,0,-1.32,True,True,True,True,7.0,57.0
8,pyridyl2_benzamidine,-6.9,29.36,63.67,53.23,0.95,0.85,0.29,NC(=N)c1cccc(-c2ccccn2)c1,197.24,2.03,62.76,2,2,2,2,0.0,0.57,15,3,2,0,60.69,4.22,0,-1.43,True,True,True,True,7.0,97.0
9,azido_benzamidine,-6.9,27.22,62.93,56.04,0.93,0.84,0.34,NC(=N)c1ccc(N=[N+]=N)cc1,162.18,1.15,100.18,2,3,3,1,0.0,0.26,12,5,1,0,44.4,3.67,1,-1.08,True,True,True,False,7.0,101.0
10,carboxamide_benzamidine,-6.8,26.78,64.1,59.33,0.98,0.92,0.34,NC(=N)c1ccc(C(=O)N)cc1,163.18,0.07,92.96,2,3,2,1,0.0,0.42,12,4,1,0,45.98,3.56,0,-1.09,True,True,True,False,10.0,41.0
