# Rank (– (overall ligand ranking)), Ligand (Ligand identifier), Vina-Bind_Score (Vina-Bind_Score), pose_centroid_x (Å (X-coords of ligand centroid)), pose_centroid_y (Å (Y-coords of ligand centroid)), pose_centroid_z (Å (Z-coords of ligand centroid)), boltz_affinity (boltz_affinity), boltz_confidence (0–1 (higher = more confident ML docking pose)), pocket_alignment_Score (0–0.5 (higher = better pocket alignment via MaSIF)), SMILES (Canonical SMILES string), MolWt (g/mol), LogP (log10 (P_octanol/water)), TPSA (Å² (topological polar surface area)), RotatableBonds (count), HBD (hydrogen bond donors), HBA (hydrogen bond acceptors), AromaticRings (count), FractionCSP3 (0–1 (sp³ C saturation)), QED (0–1 (drug-likeness)), HeavyAtomCount (count), HeteroAtomCount (count), RingCount (count), AliphaticRings (count), MR (cm³/mol (molar refractivity)), SA_Score (1–10 (synthetic accessibility; lower = easier synthesis)), FormalCharge (integer charge), ESOL_LogS (predicted log10(solubility [mol/L])), Lipinski_OK (Lipinski rule of five), Veber_OK (TPSA/rotatable-bond rule), Egan_OK (Egan absorption rule), BBB_rule (blood–brain barrier permeability), vina_rank (ascending rank (lower = better)), boltz_rank (descending rank (higher = better))
Rank,Ligand,Vina-Bind_Score,pose_centroid_x,pose_centroid_y,pose_centroid_z,boltz_affinity,boltz_confidence,pocket_alignment_Score,SMILES,MolWt,LogP,TPSA,RotatableBonds,HBD,HBA,AromaticRings,FractionCSP3,QED,HeavyAtomCount,HeteroAtomCount,RingCount,AliphaticRings,MR,SA_Score,FormalCharge,ESOL_LogS,Lipinski_OK,Veber_OK,Egan_OK,BBB_rule,vina_rank,boltz_rank
1,naphthyl4_benzamidine,-8.45,1.05,15.83,20.26,0.85,0.81,0.05,NC(=N)c1ccc(c2cccc3ccccc23)cc1,246.31,3.79,49.87,2.0,2.0,1.0,3.0,0.0,0.52,19.0,2.0,3.0,0.0,80.4,4.71,0.0,-1.92,True,True,True,True,1.0,113.0
2,benzimidazolyl_benzamidine,-8.26,0.26,15.8,20.77,0.95,0.82,0.06,NC(=N)c1ccc(-c2nccc3ccccc23)cc1,247.3,3.19,62.76,2.0,2.0,2.0,3.0,0.0,0.54,19.0,3.0,3.0,0.0,78.2,4.8,0.0,-1.93,True,True,True,True,2.0,104.0
3,quinolinyl_benzamidine,-8.01,2.28,16.29,22.1,0.98,0.91,0.11,NC(=N)c1ccc(-c2ccc3ncccc3c2)cc1,247.3,3.19,62.76,2.0,2.0,2.0,3.0,0.0,0.54,19.0,3.0,3.0,0.0,78.2,4.79,0.0,-1.93,True,True,True,True,3.0,61.0
4,benzyl_benzamidine,-7.62,2.75,16.65,18.39,0.87,0.86,0.02,NC(=N)c1ccc(CCc2ccccc2)cc1,224.31,2.76,49.87,4.0,2.0,1.0,2.0,0.13,0.61,17.0,2.0,2.0,0.0,71.31,4.39,0.0,-1.7,True,True,True,True,4.0,85.0
5,benzyloxy_benzamidine,-7.64,3.57,16.87,19.11,0.76,0.8,0.04,NC(=N)c1ccc(OCC2=CC=CC=C2)cc1,226.28,2.55,59.1,4.0,2.0,2.0,2.0,0.07,0.62,17.0,3.0,2.0,0.0,68.23,4.46,0.0,-1.72,True,True,True,True,4.0,114.0
6,phenethyl_benzamidine,-7.63,2.87,16.71,18.93,0.75,0.78,0.03,NC(=N)c1ccc(CCc2ccccc2)cc1,224.31,2.76,49.87,4.0,2.0,1.0,2.0,0.13,0.61,17.0,2.0,2.0,0.0,71.31,4.39,0.0,-1.7,True,True,True,True,4.0,117.0
7,isoquinolinyl_benzamidine,-7.54,-0.96,15.32,20.97,0.98,0.91,0.04,NC(=N)c1ccc(-c2cc3ccncc3cc2)cc1,247.3,3.19,62.76,2.0,2.0,2.0,3.0,0.0,0.54,19.0,3.0,3.0,0.0,78.2,4.78,0.0,-1.93,True,True,True,True,7.0,63.0
8,styryl_benzamidine,-7.46,0.07,15.69,20.88,0.7,0.76,0.06,NC(=N)c1ccc(C=CC2=CC=CC=C2)cc1,222.29,3.14,49.87,3.0,2.0,1.0,2.0,0.0,0.47,17.0,2.0,2.0,0.0,72.83,4.39,0.0,-1.68,True,True,True,True,8.0,120.0
9,phenethylthio_benzamidine,-7.31,4.84,16.08,19.34,0.97,0.92,0.01,NC(=N)c1ccc(SCCc2ccccc2)cc1,256.37,3.31,49.87,5.0,2.0,2.0,2.0,0.13,0.49,18.0,3.0,2.0,0.0,78.33,4.65,0.0,-2.02,True,True,True,True,9.0,54.0
10,indolyl_benzamidine,-7.35,1.08,16.06,20.04,0.97,0.91,0.05,NC(=N)c1ccc(-c2cc3ccccn3c2)cc1,235.29,2.89,54.28,2.0,2.0,2.0,3.0,0.0,0.52,18.0,3.0,3.0,0.0,73.85,4.68,0.0,-1.81,True,True,True,True,9.0,56.0
